"id"	"abbrev"	"name"
"cpd00099"	"cl"	"Cl-"
"cpd00100"	"glyc"	"Glycerol"
"cpd00101"	"r5p"	"ribose-5-phosphate"
"cpd00102"	"g3p"	"Glyceraldehyde3-phosphate"
"cpd00103"	"prpp"	"PRPP"
"cpd00104"	"btn"	"BIOT"
"cpd00105"	"rib-D"	"D-Ribose"
"cpd00106"	"fum"	"Fumarate"
"cpd00107"	"leu-L"	"L-Leucine"
"cpd00108"	"gal"	"Galactose"
"cpd00109"	"ficytc"	"Cytochrome c3+"
"cpd00110"	"focytc"	"Cytochrome c2+"
"cpd00111"	"gthox"	"Oxidized glutathione"
"cpd00112"	"CMP-N-acetylneuraminate"	"CMP-N-acetylneuraminate"
"cpd00113"	"ipdp"	"Isopentenyldiphosphate"
"cpd00114"	"imp"	"IMP"
"cpd00115"	"datp"	"dATP"
"cpd00116"	"meoh"	"Methanol"
"cpd00117"	"ala-D"	"D-Alanine"
"cpd00118"	"ptrc"	"Putrescine"
"cpd00119"	"his-L"	"L-Histidine"
"cpd00120"	"btcoa"	"Butyryl-CoA"
"cpd00121"	"inost"	"L-Inositol"
"cpd00122"	"acgam"	"N-Acetyl-D-glucosamine"
"cpd00123"	"3mob"	"3-Methyl-2-oxobutanoate"
"cpd00124"	"3'-Phosphomononucleotide"	"3'-Phosphomononucleotide"
"cpd00125"	"mlthf"	"5-10-Methylenetetrahydrofolate"
"cpd00126"	"gmp"	"GMP"
"cpd00127"	"PHENOL"	"Phenol"
"cpd00128"	"ade"	"Adenine"
"cpd00129"	"pro-L"	"L-Proline"
"cpd00130"	"mal-L"	"L-Malate"
"cpd00131"	"Molybdenum"	"Molybdenum"
"cpd00132"	"asn-L"	"L-Asparagine"
"cpd00133"	"ncam"	"Nicotinamide"
"cpd00134"	"pmtcoa"	"Palmitoyl-CoA"
"cpd00136"	"4hbz"	"4-Hydroxybenzoate"
"cpd00137"	"cit"	"Citrate"
"cpd00138"	"man"	"D-Mannose"
"cpd00139"	"glyclt"	"Glycolate"
"cpd00141"	"ppa"	"Propionate"
"cpd00142"	"acac"	"Acetoacetate"
"cpd00143"	"phpyr"	"Phenylpyruvate"
"cpd00144"	"udpglcur"	"UDPglucuronate"
"cpd00145"	"hpyr"	"Hydroxypyruvate"
"cpd00146"	"cbp"	"Carbamoylphosphate"
"cpd00147"	"5mta"	"5-Methylthioadenosine"
"cpd00148"	"5'-Phosphomononucleotide"	"5'-Phosphomononucleotide"
"cpd00149"	"cobalt2"	"Co2+"
"cpd00150"	"cyan"	"HCN"
"cpd00151"	"thym"	"Thymine"
"cpd00152"	"agm"	"Agmatine"
"cpd00153"	"bz"	"Benzoate"
"cpd00154"	"xyl-D"	"Xylose"
"cpd00155"	"glycogen"	"Glycogen"
"cpd00156"	"val-L"	"L-Valine"
"cpd00157"	"dha"	"Glycerone"
"cpd00158"	"cellb"	"CELB"
"cpd00159"	"lac-L"	"L-Lactate"
"cpd00160"	"Cholesterol"	"Cholesterol"
"cpd00161"	"thr-L"	"L-Threonine"
"cpd00162"	"etha"	"Aminoethanol"
"cpd00163"	"UDP-xylose"	"UDP-xylose"
"cpd00164"	"glcur"	"Glucuronate"
"cpd00165"	"Hydroxylamine"	"Hydroxylamine"
"cpd00166"	"adocbl"	"Calomide"
"cpd00167"	"cera-D"	"Ceramide"
"cpd00168"	"23dhb"	"2,3-Dihydroxybenzoate"
"cpd00169"	"3pg"	"3-Phosphoglycerate"
"cpd00170"	"g15lac"	"Gluconolactone"
"cpd00171"	"ru5p-D"	"D-Ribulose5-phosphate"
"cpd00172"	"Phenazine methosulfate"	"Phenazine methosulfate"
"cpd00173"	"NTP"	"NTP"
"cpd00174"	"Isoflurophate"	"Isoflurophate"
"cpd00175"	"uacgala"	"UDP-N-acetyl-D-galactosamine"
"cpd00176"	"2ddglcn"	"2-keto-3-deoxygluconate"
"cpd00177"	"dadp"	"dADP"
"cpd00178"	"acetone"	"Acetone"
"cpd00179"	"malt"	"Maltose"
"cpd00180"	"oxa"	"Oxalate"
"cpd00181"	"Cobamide"	"Cobamide"
"cpd00182"	"adn"	"Adenosine"
"cpd00183"	"sarcs"	"Sarcosine"
"cpd00184"	"thymd"	"Thymidine"
"cpd00185"	"arab-D"	"D-Arabinose"
"cpd00186"	"glu-D"	"D-Glutamate"
"cpd00187"	"mea"	"Methanamine"
"cpd00188"	"Arachidonate"	"Arachidonate"
"cpd00189"	"Methylene blue"	"Methylene blue"
"cpd00190"	"glc-D-B"	"beta-D-Glucose"
"cpd00191"	"msa"	"3-Oxopropanoate"
"cpd00192"	"coucoa"	"4-Coumaroyl-CoA"
"cpd00193"	"aps"	"APS"
"cpd00194"	"Methyl viologen"	"Methyl viologen"
"cpd00195"	"1-Alcohol"	"1-Alcohol"
"cpd00196"	"actp"	"Acetylphosphate"
"cpd00197"	"34dhbz"	"Protocatechuate"
"cpd00198"	"xu5p-D"	"D-Xylulose5-phosphate"
"cpd00199"	"sucsal"	"4-Oxobutanoate"
"cpd00200"	"4mop"	"4MOP"
"cpd00201"	"10fthf"	"10-Formyltetrahydrofolate"
"cpd00202"	"dmpp"	"DMAPP"
"cpd00203"	"13dpg"	"1,3-Bisphospho-D-glycerate"
"cpd00204"	"co"	"CO"
"cpd00205"	"k"	"K+"
"cpd00206"	"dcmp"	"dCMP"
"cpd00207"	"gua"	"Guanine"
"cpd00208"	"lcts"	"LACT"
"cpd00209"	"no3"	"Nitrate"
"cpd00210"	"taur"	"Taurine"
"cpd00211"	"but"	"Butyrate"
"cpd00212"	"srb-L"	"L-Sorbose"
"cpd00213"	"lpam"	"Lipoamide"
"cpd00214"	"hdca"	"Palmitate"
"cpd00215"	"pydx"	"Pyridoxal"
"cpd00216"	"chor"	"Chorismate"
"cpd00217"	"isomal"	"Brachiose"
"cpd00218"	"nac"	"Niacin"
"cpd00219"	"pphn"	"Prephenate"
"cpd00220"	"ribflv"	"Riboflavin"
"cpd00221"	"lac-D"	"D-Lactate"
"cpd00222"	"glcn"	"GLCN"
"cpd00223"	"glyc-R"	"Glycerate"
"cpd00224"	"arab-L"	"L-Arabinose"
"cpd00225"	"bzal"	"Benzaldehyde"
"cpd00226"	"hxan"	"HYXN"
"cpd00227"	"hom-L"	"L-Homoserine"
"cpd00228"	"dtt"	"Dithiothreitol"
"cpd00229"	"gcald"	"Glycolaldehyde"
"cpd00231"	"dhbpt"	"Dihydrobiopterin"
"cpd00232"	"acnam"	"Neu5Ac"
"cpd00233"	"thbpt"	"Tetrahydrobiopterin"
"cpd00234"	"5-Dehydro-D-fructose"	"5-Dehydro-D-fructose"
"cpd00235"	"man6p"	"D-mannose-6-phosphate"
"cpd00236"	"e4p"	"D-Erythrose4-phosphate"
"cpd00237"	"Androstenedione"	"Androstenedione"
"cpd00238"	"s7p"	"Sedoheptulose7-phosphate"
"cpd00239"	"h2s"	"H2S"
"cpd00240"	"EDTA"	"EDTA"
"cpd00241"	"dgtp"	"dGTP"
"cpd00242"	"hco3"	"H2CO3"
"cpd00243"	"Fibrin"	"Fibrin"
"cpd00244"	"ni2"	"Ni2+"
"cpd00245"	"Aniline"	"Aniline"
"cpd00246"	"ins"	"Inosine"
"cpd00247"	"orot"	"Orotate"
"cpd00248"	"quin-kt"	"Quinate"
"cpd00249"	"uri"	"Uridine"
"cpd00250"	"Creatine"	"Creatine"
"cpd00251"	"adprib"	"ADPribose"
"cpd00253"	"cll_204"	"Glutamine"
"cpd00254"	"mg2"	"Mg"
"cpd00255"	"Bradykinin"	"Bradykinin"
"cpd00256"	"cdpchol"	"CDPcholine"
"cpd00257"	"Canavanine"	"Canavanine"
"cpd00258"	"rbl-D"	"D-Ribulose"
"cpd00259"	"xylu-D"	"D-Lyxulose"
"cpd00260"	"icit"	"Isocitrate"
"cpd00261"	"xylu-L"	"L-Lyxulose"
"cpd00262"	"oxalcoa"	"Oxalyl-CoA"
"cpd00263"	"pydxn"	"Pyridoxol"
"cpd00264"	"spmd"	"Spermidine"
"cpd00265"	"Amylopectin"	"Amylopectin"
"cpd00266"	"crn"	"Carnitine"
"cpd00267"	"Sphingoid"	"Sphingoid"
"cpd00268"	"tsul"	"H2S2O3"
"cpd00269"	"2oxoadp"	"2-Oxoadipate"
"cpd00270"	"caffcoa"	"Caffeoyl-CoA"
"cpd00271"	"Ferricyanide"	"Ferricyanide"
"cpd00272"	"gdpfuc"	"GDP-L-fucose"
"cpd00273"	"Glycoprotein"	"Glycoprotein"
"cpd00274"	"citr-L"	"Citrulline"
"cpd00275"	"kynr-L"	"L-Kynurenine"
"cpd00276"	"gam"	"GLUM"
"cpd00277"	"dgsn"	"Deoxyguanosine"
"cpd00278"	"indpyr"	"Indolepyruvate"
"cpd00279"	"aacoa"	"Acetoacetyl-CoA"
"cpd00280"	"galur"	"D-Galacturonate"
"cpd00281"	"4abut"	"GABA"
"cpd00282"	"dhor-S"	"S-Dihydroorotate"
"cpd00283"	"grdp"	"Geranyldiphosphate"
"cpd00284"	"6pgc"	"6-Phospho-D-gluconate"
"cpd00285"	"ethamp"	"Phosphoethanolamine"
"cpd00286"	"udcpp"	"Undecaprenylphosphate"
"cpd00287"	"2mop"	"3-Oxo-2-methylpropanoate"
"cpd00288"	"gam6p"	"D-Glucosamine phosphate"
"cpd00289"	"ggdp"	"Geranylgeranyl diphosphate"
"cpd00290"	"fdp"	"D-fructose-1,6-bisphosphate"
"cpd00291"	"L-Dopa"	"L-Dopa"
"cpd00292"	"hmgcoa"	"HMG-CoA"
"cpd00293"	"acgam6p"	"N-Acetyl-D-glucosamine 6-phosphate"
"cpd00294"	"damp"	"dAMP"
"cpd00295"	"dgdp"	"dGDP"
"cpd00296"	"dgmp"	"dGMP"
"cpd00297"	"dtdp"	"dTDP"
"cpd00298"	"dtmp"	"dTMP"
"cpd00299"	"dump"	"dUMP"
"cpd00300"	"urate"	"Urate"
"cpd00301"	"Sterol"	"Sterol"
"cpd00302"	"Zeatin"	"Zeatin"
"cpd00303"	"Elastin"	"Elastin"
"cpd00304"	"Retinal"	"Retinal"
"cpd00305"	"thm"	"Thiamin"
"cpd00306"	"xylt"	"Xylitol"
"cpd00307"	"csn"	"Cytosine"
"cpd00308"	"maln"	"Malonate"
"cpd00309"	"xan"	"XAN"
"cpd00310"	"Carnosine"	"Carnosine"
"cpd00311"	"gsn"	"Guanosine"
"cpd00312"	"hista"	"Histamine"
"cpd00313"	"quc"	"Quercetin"
"cpd00314"	"mnl"	"D-Mannitol"
"cpd00315"	"GDP-glucose"	"GDP-glucose"
"cpd00316"	"Pyrimidine"	"Pyrimidine"
"cpd00317"	"Tobramycin"	"Tobramycin"
"cpd00318"	"Tryptamine"	"Tryptamine"
"cpd00319"	"L-Menthol"	"L-Menthol"
"cpd00320"	"cll_345"	"D-Aspartate"
"cpd00321"	"ferulcoa"	"Feruloyl-CoA"
"cpd00322"	"ile-L"	"L-Isoleucine"
"cpd00323"	"Lpipecol"	"L-Pipecolate"
"cpd00324"	"ch4s"	"MTTL"
"cpd00325"	"Progesterone"	"Progesterone"
"cpd00326"	"Sinapoyl-CoA"	"Sinapoyl-CoA"
"cpd00327"	"stcoa"	"strcoa"
"cpd00328"	"Stmyn"	"Streptomycin"
"cpd00329"	"Cyclohexanone"	"Cyclohexanone"
"cpd00330"	"dhf"	"Dihydrofolate"
"cpd00331"	"acon-C"	"cis-Aconitate"
"cpd00332"	"mev-R"	"Mevalonic acid"
"cpd00333"	"cinnm"	"(E)-Cinnamate"
"cpd00334"	"lald-L"	"L-Lactaldehyde"
"cpd00335"	"Dehydroascorbate"	"Dehydroascorbate"
"cpd00336"	"Prostaglandin H2"	"Prostaglandin H2"
"cpd00337"	"56dura"	"Hydrouracil"
"cpd00338"	"5aop"	"5-Aminolevulinate"
"cpd00339"	"5aptn"	"5-Aminopentanoate"
"cpd00340"	"25dop"	"2,5-Dioxopentanoate"
"cpd00341"	"cbmps"	"N-Carbamoylputrescine"
"cpd00342"	"acorn"	"N-Acetylornithine"
"cpd00343"	"cbasp"	"N-Carbamoyl-L-aspartate"
"cpd00344"	"forglu"	"N-Formimino-L-glutamate"
"cpd00345"	"5mthf"	"5-Methyltetrahydrofolate"
"cpd00346"	"aspsa"	"L-Aspartate4-semialdehyde"
"cpd00347"	"methf"	"5-10-Methenyltetrahydrofolate"
"cpd00348"	"gal1p"	"D-Galactose 1-phosphate"
"cpd00349"	"s17bp"	"Sedoheptulose 1,7-bisphosphate"
"cpd00350"	"frdp"	"Farnesyldiphosphate"
"cpd00351"	"saccrp-L"	"Saccharopine"
"cpd00352"	"thp2c"	"delta1-Piperideine-6-L-carboxylate"
"cpd00353"	"D-threo-Isocitric acid"	"D-threo-Isocitric acid"
"cpd00354"	"NDP"	"NDP"
"cpd00355"	"nmn"	"Nicotinamide ribonucleotide"
"cpd00356"	"dctp"	"dCTP"
"cpd00357"	"dttp"	"TTP"
"cpd00358"	"dutp"	"dUTP"
"cpd00359"	"indole"	"indol"
"cpd00360"	"purine"	"Purine"
"cpd00361"	"actn-R"	"ACTN"
"cpd00362"	"Estrone"	"Estrone"
"cpd00363"	"etoh"	"Ethanol"
"cpd00364"	"Chinone"	"Chinone"
"cpd00365"	"Retinol"	"Retinol"
"cpd00366"	"Ribitol"	"Ribitol"
"cpd00367"	"Cytidine"	"Cytidine"
"cpd00424"	"Cystathionine"	"Cystathionine"
"cpd00368"	"D-Lyxose"	"D-Lyxose"
"cpd00369"	"Ecdysone"	"Ecdysone"
"cpd00370"	"cbs_422"	"Lichenan"
"cpd00371"	"ppal"	"Propanal"
"cpd00372"	"Pyrazole"	"Pyrazole"
"cpd00373"	"Sinapate"	"Sinapate"
"cpd00374"	"tym"	"Tyramine"
"cpd00375"	"Arylamide"	"Arylamide"
"cpd00376"	"Bilirubin"	"Bilirubin"
"cpd00378"	"frmd"	"Formamide"
"cpd00379"	"glutar"	"Glutarate"
"cpd00380"	"itacon"	"Itaconate"
"cpd00382"	"raffin"	"Melitose"
"cpd00383"	"skm"	"Shikimate"
"cpd00384"	"Sisomicin"	"Sisomicin"
"cpd00385"	"Sulochrin"	"Sulochrin"
"cpd00386"	"mal-D"	"D-Malate"
"cpd00387"	"adpglc"	"ADPglucose"
"cpd00388"	"alltt"	"Allantoate"
"cpd00389"	"Biliverdin"	"Biliverdin"
"cpd00390"	"CDP-glucose"	"CDP-glucose"
"cpd00391"	"D-Xylonate"	"D-Xylonate"
"cpd00392"	"Phycite"	"Phycite"
"cpd00393"	"fol"	"Folate"
"cpd00394"	"Gentamicin"	"Gentamicin"
"cpd00395"	"Lcyst"	"L-Cysteate"
"cpd00396"	"rmn"	"L-Rhamnose"
"cpd00397"	"rbl-L"	"L-Ribulose"
"cpd00398"	"Naringenin"	"Naringenin"
"cpd00399"	"Oleoyl-CoA"	"Oleoyl-CoA"
"cpd00400"	"acryl"	"Acrylate"
"cpd00401"	"Benzoyl-CoA"	"Benzoyl-CoA"
"cpd00402"	"cdpglyc"	"CDPglycerol"
"cpd00403"	"mana"	"D-Mannonate"
"cpd00404"	"D-Ornithine"	"D-Ornithine"
"cpd00405"	"hxdcal"	"Hexadecanal"
"cpd00406"	"Hypotaurine"	"Hypotaurine"
"cpd00407"	"Limonene"	"Limonene"
"cpd00408"	"pant-R"	"Pantoate"
"cpd00409"	"Androsterone"	"Androsterone"
"cpd00410"	"cytcc"	"Cytochrome c"
"cpd00411"	"D-Tryptophan"	"D-Tryptophan"
"cpd00412"	"duri"	"Deoxyuridine"
"cpd00413"	"glutcoa"	"Glutaryl-CoA"
"cpd00414"	"Glycopeptide"	"Glycopeptide"
"cpd00415"	"hqn"	"Quinol"
"cpd00416"	"itaccoa"	"Itaconyl-CoA"
"cpd00417"	"abt-L"	"L-Lyxitol"
"cpd00418"	"no"	"NO"
"cpd00419"	"pydam"	"PM"
"cpd00420"	"Testosterone"	"Testosterone"
"cpd00421"	"pppi"	"Triphosphate"
"cpd00422"	"Cinnamoyl-CoA"	"Cinnamoyl-CoA"
"cpd00423"	"cbl2"	"Vitamin B12r"
"cpd00425"	"dma"	"(CH3)2NH"
"cpd00426"	"hgentis"	"Homogentisate"
"cpd00427"	"L-Arabinonate"	"L-Arabinonate"
"cpd00428"	"mthgxl"	"2-Oxopropanal"
"cpd00429"	"Arterenol"	"Arterenol"
"cpd00430"	"pac"	"PACT"
"cpd00431"	"Sphingomyelin"	"Sphingomyelin"
"cpd00432"	"tartr-M"	"meso-Tartrate"
"cpd00433"	"(+)-Neomenthol"	"(+)-Neomenthol"
"cpd00434"	"4abutn"	"4-Aminobutanal"
"cpd00435"	"bzalc"	"Phenylcarbinol"
"cpd00436"	"Cyclopentanone"	"Cyclopentanone"
"cpd00437"	"tagur"	"D-Tagaturonate"
"cpd00438"	"dad-2"	"Deoxyadenosine"
"cpd00439"	"Mandelonitrile"	"Mandelonitrile"
"cpd00440"	"Phosphoramidon"	"Phosphoramidon"
"cpd00441"	"tma"	"(CH3)3N"
"cpd00442"	"(3S)-Citryl-CoA"	"(3S)-Citryl-CoA"
"cpd00443"	"4abz"	"ABEE"
"cpd00444"	"cdpea"	"CDPethanolamine"
"cpd00445"	"Cyclohexanamine"	"Cyclohexanamine"
"cpd00446"	"camp"	"cAMP"
"cpd00447"	"betald"	"Betaine aldehyde"
"cpd00448"	"glyald"	"D-Glyceraldehyde"
"cpd00449"	"dhlam"	"Dihydrolipoamide"
"cpd00450"	"dms"	"Methyl sulfide"
"cpd00451"	"Glycocyamine"	"Glycocyamine"
"cpd00452"	"phaccoa"	"Phenylacetyl-CoA"
"cpd00453"	"12ppd-S"	"1,2-Propanediol"
"cpd00454"	"Dinoprostone"	"Dinoprostone"
"cpd00455"	"2dglc"	"2-Deoxy-D-glucose"
"cpd00456"	"3-Hydroxybenzoate"	"3-Hydroxybenzoate"
"cpd00457"	"cholp"	"Phosphocholine"
"cpd00458"	"confrl"	"Coniferol"
"cpd00459"	"N-Acylneuraminate"	"N-Acylneuraminate"
"cpd00460"	"2saa"	"Sulfoacetaldehyde"
"cpd00461"	"op4en"	"Oxopent-4-enoate"
"cpd00463"	"Cholestenone"	"Cholestenone"
"cpd00464"	"pacald"	"alpha-Tolualdehyde"
"cpd00465"	"urdglyc"	"Ureidoglycolate"
"cpd00466"	"o-Phenanthroline"	"o-Phenanthroline"
"cpd00467"	"3sala"	"3-Sulfinoalanine"
"cpd00468"	"Deoxyribonucleotide"	"Deoxyribonucleotide"
"cpd00469"	"N-Acetyllactosamine"	"N-Acetyllactosamine"
"cpd00470"	"N1aspmd"	"N1-Acetylspermidine"
"cpd00471"	"Quercetin 3-sulfate"	"Quercetin 3-sulfate"
"cpd00472"	"udpgalur"	"UDPgalacturonate"
"cpd00473"	"3dhguln"	"3-Dehydro-L-gulonate"
"cpd00474"	"3-Oxo-delta4-steroid"	"3-Oxo-delta4-steroid"
"cpd00475"	"r1p"	"Ribose 1-phosphate"
"cpd00477"	"acglu"	"N-Acetyl-L-glutamate"
"cpd00478"	"pdx5p"	"Pyridoxine phosphate"
"cpd00479"	"Gentisate"	"Gentisate"
"cpd00480"	"2dhglcn"	"2-Dehydro-D-gluconate"
"cpd00481"	"ibcoa"	"Isobutyryl-CoA"
"cpd00482"	"2pg"	"2-Phospho-D-glycerate"
"cpd00483"	"3hanthrn"	"3-Hydroxyanthranilate"
"cpd00484"	"4hbald"	"p-Hydroxybenzaldehyde"
"cpd00485"	"man1p"	"D-Mannose1-phosphate"
"cpd00486"	"id3acald"	"Indoleacetaldehyde"
"cpd00487"	"Higher fatty acid"	"Higher fatty acid"
"cpd00488"	"PGF2a"	"PGF2a"
"cpd00489"	"4hphac"	"4-Hydroxyphenylacetate"
"cpd00490"	"5-Hydroxy-L-tryptophan"	"5-Hydroxy-L-tryptophan"
"cpd00491"	"mnl1p"	"D-mannitol-1-phosphate"
"cpd00492"	"acmana"	"N-Acetyl-D-mannosamine"
"cpd00493"	"pyam5p"	"Pyridoxamine phosphate"
"cpd00494"	"4-Hydroxymandelonitrile"	"4-Hydroxymandelonitrile"
"cpd00495"	"4-Methylene-L-glutamate"	"4-Methylene-L-glutamate"
"cpd00496"	"Dara14lac"	"D-Arabinono-1,4-lactone"
"cpd00497"	"xmp"	"XMP"
"cpd00498"	"2ahbut"	"2-Aceto-2-hydroxybutanoate"
"cpd00499"	"g16bp"	"D-glucose-1,6-biphosphate"
"cpd00501"	"g1p-B"	"beta-D-Glucose 1-phosphate"
"cpd00502"	"5-Formiminotetrahydrofolate"	"5-Formiminotetrahydrofolate"
"cpd00503"	"f26bp"	"D-Fructose 2,6-bisphosphate"
"cpd00504"	"26dap-LL"	"LL-2,6-Diaminopimelate"
"cpd00506"	"glucys"	"gamma-Glutamylcysteine"
"cpd00507"	"g3pc"	"Glycerophosphocholine"
"cpd00508"	"3mop"	"3MOP"
"cpd00509"	"2dr1p"	"deoxyribose-1-phosphate"
"cpd00510"	"2dr5p"	"deoxyribose-5-phosphate"
"cpd00511"	"Androstanedione"	"Androstanedione"
"cpd00512"	"Deoxynucleoside 3'-phosphate"	"Deoxynucleoside 3'-phosphate"
"cpd00513"	"Deoxynucleoside 5'-phosphate"	"Deoxynucleoside 5'-phosphate"
"cpd00514"	"Deoxynucleoside triphosphate"	"Deoxynucleoside triphosphate"
"cpd00515"	"5d4dglcr"	"5-Dehydro-4-deoxy-D-glucarate"
"cpd00516"	"26dap-M"	"meso-2,6-Diaminopimelate"
"cpd00517"	"1ag3p"	"1-Acyl-sn-glycerol 3-phosphate"
"cpd00518"	"2hmcnsad"	"2-Hydroxymuconic semialdehyde"
"cpd00519"	"mmcoa-S"	"D-methylmalonyl-CoA"
"cpd00520"	"2-Dehydro-3-deoxy-L-pentonate"	"2-Dehydro-3-deoxy-L-pentonate"
"cpd00521"	"dtdp4d6dg"	"dTDP-4-oxo-6-deoxy-D-glucose"
"cpd00522"	"dtdp4d6dm"	"dTDP-4-oxo-L-rhamnose"
"cpd00523"	"tre6p"	"Trehalose 6-phosphate"
"cpd00524"	"2ins"	"2-Inosose"
"cpd00525"	"uamag"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate"
"cpd00526"	"Cholate"	"Cholate"
"cpd00527"	"Prostaglandin D2"	"Prostaglandin D2"
"cpd00528"	"n2"	"N2"
"cpd00530"	"xtp"	"XTP"
"cpd00531"	"hg2"	"Hg2+"
"cpd00532"	"o2s"	"O2-"
"cpd00533"	"dcdp"	"dCDP"
"cpd00534"	"I-"	"I-"
"cpd00536"	"oleac"	"Oleate"
"cpd00537"	"Panose"	"Panose"
"cpd00538"	"Pterin"	"Pterin"
"cpd00540"	"glyb"	"BET"
"cpd00541"	"lipt"	"Lipoate"
"cpd00542"	"R-CN"	"R-CN"
"cpd00543"	"Orcinol"	"Orcinol"
"cpd00544"	"Tropine"	"Tropine"
"cpd00545"	"Ubenimex"	"Ubenimex"
"cpd00546"	"Cortisol"	"Cortisol"
"cpd00547"	"cll_451"	"Cysteine"
"cpd00548"	"D-Hexose"	"D-Hexose"
"cpd00549"	"lys-D"	"D-Lysine"
"cpd00550"	"ser-D"	"D-Serine"
"cpd00551"	"cll_453"	"DTYL"
"cpd00552"	"F-"	"F-"
"cpd00553"	"Macrocin"	"Macrocin"
